Title,Note,URL,Tags,Comment
Hội An Toto Bingsu & Cafe,,https://www.google.com/maps/place/H%E1%BB%99i+An+Toto+Bingsu+%26+Cafe/data=!4m2!3m1!1s0x31420f5cec25b8fb:0xb427792343e86dd8,,
La.Kao Teahouse,,https://www.google.com/maps/place/La.Kao+Teahouse/data=!4m2!3m1!1s0x31420f63be2b3ddd:0xf9acdf22291e72aa,,
SẾU the tearoom - contemporary matcha bar and specialty coffee,,https://www.google.com/maps/place/S%E1%BA%BEU+the+tearoom+-+contemporary+matcha+bar+and+specialty+coffee/data=!4m2!3m1!1s0x314219893e2e6141:0xcb298a4fd5c3048f,,
Namaka Jewelry | Pullman Store,,https://www.google.com/maps/place/Namaka+Jewelry+%7C+Pullman+Store/data=!4m2!3m1!1s0x3142175d8b500001:0x3312ccf3619feca9,,
Trầm Hương Phúc Linh,,https://www.google.com/maps/place/Tr%E1%BA%A7m+H%C6%B0%C6%A1ng+Ph%C3%BAc+Linh/data=!4m2!3m1!1s0x314219d98e192023:0xe97e0119ccf9b6a,,
Cơ sở sản xuất Nhang sạch Phố Hội,,https://www.google.com/maps/place/C%C6%A1+s%E1%BB%9F+s%E1%BA%A3n+xu%E1%BA%A5t+Nhang+s%E1%BA%A1ch+Ph%E1%BB%91+H%E1%BB%99i/data=!4m2!3m1!1s0x31420fa58b3f3bb9:0x14e0dec784746f43,,
Phở Tùng,,https://www.google.com/maps/place/Ph%E1%BB%9F+T%C3%B9ng/data=!4m2!3m1!1s0x31420e7ebce13f43:0x22755b1961058a84,,
Phở Liến Nga,,https://www.google.com/maps/place/Ph%E1%BB%9F+Li%E1%BA%BFn+Nga/data=!4m2!3m1!1s0x31420f6b6869b4dd:0x9bbd236dd519454,,
Bánh cuốn Phương Thảo - Hanoian Specialties,,https://www.google.com/maps/place/B%C3%A1nh+cu%E1%BB%91n+Ph%C6%B0%C6%A1ng+Th%E1%BA%A3o+-+Hanoian+Specialties/data=!4m2!3m1!1s0x31420d50765ef0b1:0x54d734f852c1e988,,
Ms. Ba Be's Sticky Rice,,https://www.google.com/maps/place/Ms.+Ba+Be's+Sticky+Rice/data=!4m2!3m1!1s0x31421836803ac0dd:0xa78ca40284c3681,,
Bánh Canh / Quán Thu,,https://www.google.com/maps/place/B%C3%A1nh+Canh+%2F+Qu%C3%A1n+Thu/data=!4m2!3m1!1s0x3142174cd9d9dd79:0x2920454f1a113f31,,
Bánh Canh Ghẹ Quận Nhất - Cơ Sở Đà Nẵng,,https://www.google.com/maps/place/B%C3%A1nh+Canh+Gh%E1%BA%B9+Qu%E1%BA%ADn+Nh%E1%BA%A5t+-+C%C6%A1+S%E1%BB%9F+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m2!3m1!1s0x31421900038ef4a5:0x629bfce6f638958d,,
Bánh mì que Hoa Mập,,https://www.google.com/maps/place/B%C3%A1nh+m%C3%AC+que+Hoa+M%E1%BA%ADp/data=!4m2!3m1!1s0x314217f75054564f:0x8247c28047ce6427,,
Bún chả cá 109,,https://www.google.com/maps/place/B%C3%BAn+ch%E1%BA%A3+c%C3%A1+109/data=!4m2!3m1!1s0x31421830ba3e1ab9:0x4517adaf3fa99d5,,
Bánh mì que Hai Vui,,https://www.google.com/maps/place/B%C3%A1nh+m%C3%AC+que+Hai+Vui/data=!4m2!3m1!1s0x31420f1737664749:0x4728b94c86fe1238,,
Banh Mi Chao,,https://www.google.com/maps/place/Banh+Mi+Chao/data=!4m2!3m1!1s0x31421700014ad903:0xb6d7fa98ea65f2c3,,
Cơm Hến,,https://www.google.com/maps/place/C%C6%A1m+H%E1%BA%BFn/data=!4m2!3m1!1s0x3142185285bc5e03:0x9e1f92d6372bb0f0,,
Quán Cao lầu Bá Lễ,,https://www.google.com/maps/place/Qu%C3%A1n+Cao+l%E1%BA%A7u+B%C3%A1+L%E1%BB%85/data=!4m2!3m1!1s0x31420f71eb624fe5:0x9c6b44c16d48e10d,,
Hủ Tiếu Mực Thuận Thành,,https://www.google.com/maps/place/H%E1%BB%A7+Ti%E1%BA%BFu+M%E1%BB%B1c+Thu%E1%BA%ADn+Th%C3%A0nh/data=!4m2!3m1!1s0x314219af7d897943:0x81730522c1c4eb22,,
Hủ Tiếu Mực Thuận Thành,,https://www.google.com/maps/place/H%E1%BB%A7+Ti%E1%BA%BFu+M%E1%BB%B1c+Thu%E1%BA%ADn+Th%C3%A0nh/data=!4m2!3m1!1s0x3142175a247c5253:0x558e8f8b568d02c3,,
Hủ Tiếu Kỳ Kỳ,,https://www.google.com/maps/place/H%E1%BB%A7+Ti%E1%BA%BFu+K%E1%BB%B3+K%E1%BB%B3/data=!4m2!3m1!1s0x314219df3e11473f:0x4f9dfdf9b8f80b8b,,
Bánh Xèo Bà Tuyết,,https://www.google.com/maps/place/B%C3%A1nh+X%C3%A8o+B%C3%A0+Tuy%E1%BA%BFt/data=!4m2!3m1!1s0x3142199a7ab50c0f:0x49d20b7b38c927e0,,
Bánh bột lọc Huế Bé Tâm,,https://www.google.com/maps/place/B%C3%A1nh+b%E1%BB%99t+l%E1%BB%8Dc+Hu%E1%BA%BF+B%C3%A9+T%C3%A2m/data=!4m2!3m1!1s0x314217331fd0234f:0xb1cbd6e88f27a949,,
Bánh Canh Ghẹ Quận Nhất - Cơ Sở Hội An,,https://www.google.com/maps/place/B%C3%A1nh+Canh+Gh%E1%BA%B9+Qu%E1%BA%ADn+Nh%E1%BA%A5t+-+C%C6%A1+S%E1%BB%9F+H%E1%BB%99i+An/data=!4m2!3m1!1s0x31420fa8d56ff837:0x13bb7f7b06072b6e,,
Bánh bèo Tâm,,https://www.google.com/maps/place/B%C3%A1nh+b%C3%A8o+T%C3%A2m/data=!4m2!3m1!1s0x3142183351e3ee73:0xdb7131cd093e2fc1,,
Quán Hải Sản Bé Nữ,,https://www.google.com/maps/place/Qu%C3%A1n+H%E1%BA%A3i+S%E1%BA%A3n+B%C3%A9+N%E1%BB%AF/data=!4m2!3m1!1s0x314217d929253b79:0x49f8daf4375e563c,,
